País,Año,N° de ley,Tipo,Extracto,Link,Fecha de sanción,¿Modifica otra ley?,¿Cuál?,¿Sigue vigente?,Fecha de derogación o modificación,¿Criminaliza la expresión?,¿Elimina criminalización?,¿Impone una sanción civil?,¿Elimina una sanción civil?,¿Impone barreras adicionales para la expresión?,¿Regula contenido en Internet?,¿Distingue la expresión online de la offline?,¿Regula intermediarios en Internet?,¿Apoyo de la sociedad civil?,¿Limita o promueve el discurso?,Objetivo legítimo,Legalidad,Necesidad,Proporcionalidad,¿Cumple con todos los elementos del test?,Objetivo legítimo (2),Objetivo legítimo (3),Análisis del test tripartito
México,2018,Ley General de Comunicación Social,Ley,Regula las formas de Comunicación Social del Estado,http://gaceta.diputados.gob.mx/PDF/63/2018/abr/20180410-IV.pdf#page=2 http://www.dof.gob.mx/nota_detalle.php?codigo=5522344&fecha=11/05/2018,2018-05-11,NO,,,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,,,,
México,2018,Ley Federal de Derechos de Autor,Artículos específicos,Permite que Tribunales ordenen medidas precautorias interventoras de contenido en internet relacionado con los derechos de autor,http://www.senado.gob.mx/64/gaceta_del_senado/documento/80869,2018-06-01,SI,,,,NO,SI,NO,SI,SI,SI,SI,NO,,Limita,Propiedad Intelectual,SI,NO,NO,NO,Derechos de autor,,
Paraguay,2018,6083,Ley ordinaria,IMPIDE LA DIFUSIÓN DE DATOS O IMÁGENES DE MENORES A TRAVÉS DE LAS REDES SOCIALES Y LOS SISTEMAS DE MENSAJERÍA.,http://www.gacetaoficial.gov.py/index/getDocumento/55127,2018-05-10,SI,Ley 1680/01,SI,,SI,NO,NO,NO,SI,SI,SI,SI,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Paraguay,2018,6106,Ley ordinaria,DE FOMENTO AL DESARROLLO DE LA ACTIVIDAD AUDIOVISUAL,http://www.bacn.gov.py/leyes-paraguayas/8426/ley-n-6106-de-fomento-al-audiovisual,2018-06-07,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,DESC,SI,SI,SI,SI,Promoción de la cultura,,
Paraguay,2018,6207,Ley ordinaria,QUE CREA EL MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN,http://www.gacetaoficial.gov.py/index/getDocumento/57079,2018-10-17,SI,LEY 4989/13,SI,,NO,NO,NO,NO,NO,SI,NO,NO,NO,Promueve,Libertad de Expresión y Derechos políticos,SI,SI,SI,SI,Libertad de expresión,,
Perú,2018,Ley No. 30793,LEY,"Prohíbe la contratación de publicidad estatal en medios de comunicación privados (canales de televisión, radios, diarios, páginas web, entre otro), salvo supuestos de excepción (como desastres naturales). Dicha disposición alcanza a todas las entidades públicas, incluidas las de derecho privado, las empresas estatales y los gobiernos locales y regionales. El incumplimiento de la prohibición se sanciona como delito de malversación.",http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/30793-LEY.pdf,2018-06-18,SI,LEY 28774,SI,,SI,NO,NO,NO,SI,SI,NO,NO,NO,Limita,Publicidad oficial,NO,NO,NO,NO,,,"La ley prohíbe toda publicidad estatal en medios privados, estableciendo algunas excepciones poco claras. Pese a que el sustento es el supuesto gasto excesivo en publicidad no requerida, el proyecto no presenta ninguna evidencia para ello, ni establece alguna justificación para la prohibición total de este tipo de publicidad, ni se expone cómo esta medida puede resultar proporcional frente a la limitación en el derecho de acceso a la información de los ciudadanos."
Perú,2018,Ley No. 30794,LEY,"Prohibe el ingreso a trabajar en el sector público a los sentenciados por delito de terrorismo o apología de terrorismo, entre otros delitos.",http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/30794-LEY.pdf,2018-06-18,NO,,,,NO,NO,SI,NO,SI,NO,NO,NO,SI,Limita,Seguridad nacional,SI,NO,NO,NO,Función pública,,"Pese a que el texto de la ley es claro en establecer una prohibición de laborar en el sector público, no justifica la (imperiosa) necesidad o peligro de que labore en el sector público una persona que ya haya cumplido una pena por delito de apología y que, en principio, debería haber sido resocializada. Tampoco se descartan alternativas menos gravosas o limitativas de los derechos de dichas personas."
Perú,2018,Ley No. 30901,LEY,"La presente ley tiene por finalidad brindar información a la ciudadanía para prevenir toda forma de violencia contra mujeres, niñas, niños o adolescentes a través de la implementación en el Registro Nacional de Condenas el subregistro de personas condenadas por delitos previstos en el artículo y regulación de la inhabilitación definitiva para trabajar con niñas, niños y adolescentes o prestar servicios relacionados con ellos por contar con antecedentes por los delitos contemplados en el artículo 2. El acceso a la información contenida en el subregistro de personas condenadas es público y gratuito. A tal efecto, el Poder Judicial incorpora en su página web el vínculo que permita a cualquier persona acceder a su contenido, previo registro de su documento nacional de identidad y la justificación de su acceso.",http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/30901-LEY.pdf,2018-12-29,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,Acceso a la información,,,,,,,
Colombia,2017,1835,Ley ordinaria,"MODIFICA LA LEY DE DERECHOS DE AUTOR Y ESTABLECE UNA REMUNERACIÓN POR COMUNICACIÓN PÚBLICA A LOS AUTORES DE OBRAS CINEMATOGRÁFICAS. LA LEY ESTABLECE QUE NO SE CONSIDERARÁ COMO COMUNICACIÓN PÚBLICA LA COMUNICACIÓN QUE SE REALICE CON FINES ESTRICTAMENTE EDUCATIVOS, DENTRO DE LOS INSTITUTOS DE EDICACIÓN O LA QUE HAGA EN ESTABLECIMIENTOS ABIERTOS AL PÚBLICO PARA EL ENTRETENIMIENTO DE SUS TRABAJADORES.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1835_2017.html,2017-06-09,SI,LEY 23 DE 1982,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Colombia,2017,1862,Ley ordinaria,"ESTABLECE NORMAS DE CONDUCTA PARA LOS MILITARES Y EXPIDE EL CÓDIGO DISCIPLINARIO MILITAR. EL ARTÍCULO 22 PROHÍBE HACER EXPRESIONES DE INCONFORMIDAD O DESAPROBACIÓN DEL SERVICIO, DE LAS ÓRDENES DEL MANDO O DE OTROS MILITARES; HACER RECLAMACIONES EN TÉRMINOS IRRESPETUOSOS; PROMOVER ALTERACIONES DEL ORDEN; REALIZAR EXPRESIONES O DEMOSTRACIONES ERÓTICAS EN LUGARES O EVENTOS NO AUTORIZADOS PORTANDO EL UNIFORME; UTILIZAR DIMINUTIVOS RELACIONADOS CON LOS CARGOS O GRADOS MILITARES.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1862_2017.html,2017-08-04,SI,LEY 836 DE 2003,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,"LA COMISIÓN INTERAMERICANA DE DERECHOS HUMANOS HA SOSTENIDO QUE CUANDO SE TRATA DE LAS FUERZAS ARMADAS, LA NECESIDAD DE DISCIPLINA PUEDE JUSTIFICAR QUE SE ESTABLEZCAN LIMITACIONES MAYORES A LA LIBERTAD DE EXPRESIÓN. DELITOS COMO EL ULTRAJE A LA FUERZA ARMADA O EL INSULTO A UN SUPERIOR PODRÍAN SER LEGÍTIMAMENTE EXIGIBLES A LOS MIEMBROS DE LA FUERZA PÚBLICA. NO OBSTANTE, DE ACUERDO CON LA COMISIÓN, LAS LIMITACIONES NO PUEDEN SER INNECESARIAS O EXCESIVAS. SIN EMBARGO, LA PROHIBICIÓN DE EXPRESAR INCONFORMIDAD O DESAPROBACIÓN DEL SERVICIO ES AMPLIA Y DESPROPORCIONADA."
Colombia,2017,1862,Ley ordinaria,"ESTABLECE NORMAS DE CONDUCTA PARA LOS MILITARES Y EXPIDE EL CÓDIGO DISCIPLINARIO MILITAR. EL ARTÍCULO 71 PROHÍBE IRRESPETAR LOS SÍMBOLOS PATRIOS O EMBLEMAS INSTITUCIONALES; IRRESPETAR LAS INSIGNIAS, DISTINTIVOS, CONDECORACIONES, BANDERAS Y DEMÁS SÍMBOLOS MILITARES; PROMOVER ACTIVIDADES CONTRARIAS A LA DISCIPLINA MILITAR E UTILIZAR EXPRESIONES IRRESPETUOSAS, INJURIOSAS O CALUMNIOSAS.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1862_2017.html,2017-08-04,SI,LEY 836 DE 2003,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,Honor y reputación,,
Colombia,2017,1862,Ley ordinaria,TÍTULO TERCERO (DE LAS FALTAS),http://www.secretariasenado.gov.co/senado/basedoc/ley_1862_2017.html,2017-08-04,SI,LEY 836 DE 2003,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,Honor y reputación,,"LA COMISIÓN INTERAMERICANA DE DERECHOS HUMANOS HA SOSTENIDO QUE CUANDO SE TRATA DE LAS FUERZAS ARMADAS, LA NECESIDAD DE DISCIPLINA PUEDE JUSTIFICAR QUE SE ESTABLEZCAN LIMITACIONES MAYORES A LA LIBERTAD DE EXPRESIÓN. DELITOS COMO EL ULTRAJE A LA FUERZA ARMADA O EL INSULTO A UN SUPERIOR PODRÍAN SER LEGÍTIMAMENTE EXIGIBLES A LOS MIEMBROS DE LA FUERZA PÚBLICA. NO OBSTANTE, DE ACUERDO CON LA COMISIÓN, LAS LIMITACIONES NO PUEDEN SER INNECESARIAS O EXCESIVAS. SIN EMBARGO, LA PROHIBICIÓN DE HACER COMENTARIOS QUE AFECTEN EL HONOR MILITAR O LA DIGNIDAD DE COMPAÑEROS ESTÁ ESCRITA EN TÉRMINOS DEMASIADO AMPLIOS QUE NO SE AJUSTAN A LAS EXIGENCIAS DEL PRINCIPIO DE LEGALIDAD, RESULTANDO, EN CONSECUENCIA, DESPROPORCIONADA."
Colombia,2017,1862,Ley ordinaria,"ESTABLECE NORMAS DE CONDUCTA PARA LOS MILITARES Y EXPIDE EL CÓDIGO DISCIPLINARIO MILITAR. EL ARTÍCULO 142 ESTABLECE LA RESERVA DE LA ACTUACIÓN DISCIPLINARIA. ESTARÁN RESERVADAS LAS INDAGACIONES DISCIPLINARIAS, LAS AUDIENCIAS Y LAS JUNTAS DISCIPLINARIAS MILITARES.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1862_2017.html,2017-08-04,SI,LEY 836 DE 2003,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,Acceso a la información,,"LA PUBLICIDAD DE LOS PROCESOS ES UN PRINCIPIO ESENCIAL AL DEBIDO PROCESO, GARANTIZADO TANTO POR LA CONSTITUCIÓN POLÍTICA COMO POR EL PROPIO CÓDIGO DISCIPLINARIO MILITAR. EN PRO DE LA ADMINISTRACIÓN EFECTIVA DE JUSTICIA ES ADMISIBLE QUE CIERTAS ACTUACIONES DEL PROCESO, COMO LAS INDAGACIONES PRELIMINARES, SEAN RESERVADAS TEMPORALMENTE. SIN EMBARGO, LA RESERVA ABSOLUTA DE AUDIENCIAS Y JUNTAS DISCIPLINARIAS ES INNECESARIA Y DESPROPORCIONADA."
Guatemala,2017,DECRETO DEL CONGRESO NO. 22-2017,Ley ordinaria,LEY DEL BANCO DE DATOS GENÉTICOS PARA USO FORENSE,WWW.JURISPRUDENCIA.OJ.GOB.GT,2017-12-21,SI,ARTÍCULO 61 CÓDIGO PENAL,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Limita,Privacidad y Derechos ARCO,SI,SI,SI,SI,Privacidad,,
México,2017,CPF,,Promueva o anuncie peleas de perros,http://dof.gob.mx/nota_detalle.php?codigo=5487716&fecha=22/06/2017,2017-06-22,SI,,SI,,SI,NO,NO,NO,SI,SI,SI,SI,NO,Limita,Moral Pública,NO,NO,SI,NO,,,
Paraguay,2017,5830,Ley ordinaria,"EL OBJETO DE LA LEY ES PROTEGER A LOS USUARIOS DE SERIVICIOS DE TELEFONIA, DE LOS ABUSOS DEL PROCEDIMIENTO DE CONTACTO, PUBLICIDAD, OFERTA, VENTA Y REGALO DE BIENOS O SERVICIOS NO SOLICITADOS",http://silpy.congreso.gov.py/descarga/ley-137672,2017-05-18,NO,,SI,,NO,NO,SI,NO,NO,NO,NO,NO,SI,Limita,Derechos del consumidor,SI,NO,NO,NO,,,
Argentina,2016,27275,,Derecho de Acceso a la Información Pública,http://servicios.infoleg.gob.ar/infolegInternet/anexos/265000-269999/265949/norma.htm,2016-09-14,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,Acceso a la información,,,,,,,
Argentina,2016,27337,,"Modificación de la Ley Nacional Electoral (artículos 1, 2, 3, 4, 5 y 6 - Modificación artículos 64 quinquies, 64 sexies, 64 septies, 64 octies y 64 nonies).",http://servicios.infoleg.gob.ar/infolegInternet/anexos/265000-269999/268872/norma.htm,2016-11-23,SI,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,,Libertad electoral,,
Brasil,2016,13.260/2016,Ley,"Disciplina o terrorismo, tratando de disposições investigatórias e processuais e reformulando o conceito de organização terrorista (chamada ""Lei Antiterrorismo"").",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/lei/l13260.htm,2016-03-16,SI,Leis nºs 7.960/1989 e 12.850/2013.,SI,,SI,NO,SI,NO,SI,SI,NO,NO,NO,Limita,Seguridad nacional,NO,NO,NO,NO,,,"Durante seu trâmite nas casas legislativas, o PL que culminou na Lei Antiterrorismo mobilizou a sociedade civil, principalmente por conta do receio de aplicação da lei para coibir manistações de caráter político e criminalizar movimentos sociais. Apesar da inclusão do §2º no art. 2º (o que diz que a lei não se aplica a manifestações) e do veto da diversos artigos da lei, a versão aprovada mantém tipos penais demasiadamente abertos (não cumprindo com o requisito ""legalidade""). Além disso, não cumpre com o requisito ""necessidade"", tendo em vista que as condutas tipificadas na lei já se encontram tipificadas em outros instrumentos legais. Por fim, também não há cumprimento do requisito ""proporcionalidade"", tendo em vista que as penas cominadas são elevadíssimas (12 a 30 anos de prisão) e a lei equipara condutas de diferentes gravidades (por exemplo, coloca a ameaça de uso e o uso efetivo de armas biológicas no mesmo patamar)"
Colombia,2016,1801,Ley ordinaria,EXPIDE EL CÓDIGO NACIONAL DE POLICÍA Y CONVIVENCIA. EL ARTÍCULO 27 PROHÍBE LA INCITACIÓN A OTROS A CONFRONTACIONES VIOLENTAN QUE PUEDAN DERIVAR EN AGRESIONES FÍSICAS Y LAS AMENAZAS DE CAUSAR DAÑO FÍSICO A OTRAS PERSONAS.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1801_2016.html,2016-07-29,SI,"DECRETO-LEY 1355 DE 1970, LEY 140 DE 1994, LEY 232 DE 1995, LEY 338 DE 1997,LEY 697 DE 2001, LEY 749 DE 2002, LEY 810 DE 2003, LEY 1259 DE 2008, LEY 1335 DE 2009, LEY 1356 DE 2009.",SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Colombia,2016,1801,Ley ordinaria,"EXPIDE EL CÓDIGO NACIONAL DE POLICÍA Y CONVIVENCIA. EL ARTÍCULO 38 PROHÍBE PERMITIR, TOLERAR O INDUCIR EL INGRESO DE MENORES DE EDAD A LUGARES DONDE SE REALICEN ESPECTÁCULOS O ACTIVIDADES CINEMATOGRÁFICAS APTAS SÓLO PARA MAYORES DE EDAD; PROHÍBE PERMITIR QUE MENORES DE EDAD USEN LAS TELECOMUNICACIONES PARA ACCEDER A MATERIAL PORNOGRÁFICO Y PROHÍBE QUE SE DISTRIBUYA U OFREZCA MATERIAL PORNOGRÁFICO A MENORES DE EDAD.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1801_2016.html,2016-07-29,SI,"DECRETO-LEY 1355 DE 1970, LEY 140 DE 1994, LEY 232 DE 1995, LEY 338 DE 1997,LEY 697 DE 2001, LEY 749 DE 2002, LEY 810 DE 2003, LEY 1259 DE 2008, LEY 1335 DE 2009, LEY 1356 DE 2009.",SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Colombia,2016,1801,Ley ordinaria,"EXPIDE EL CÓDIGO NACIONAL DE POLICÍA Y CONVIVENCIA. EL ARTÍCULO 40 PROHÍBE INDUCIR AL MALTRATO CONTRA PERSONAS EN CONDICIÓN DE VULNERABILIDAD, DISCAPACIDAD, NIÑOS, ADULTOS MAYORES Y MUJERES EN ESTADO DE EMBARAZO.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1801_2016.html,2016-07-29,SI,"DECRETO-LEY 1355 DE 1970, LEY 140 DE 1994, LEY 232 DE 1995, LEY 338 DE 1997,LEY 697 DE 2001, LEY 749 DE 2002, LEY 810 DE 2003, LEY 1259 DE 2008, LEY 1335 DE 2009, LEY 1356 DE 2009.",SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Colombia,2016,1801,Ley ordinaria,EXPIDE EL CÓDIGO NACIONAL DE POLICÍA Y CONVIVENCIA. EL ARTÍCULO 92 PROHÍBE DISTRUIBUIR CONTENIDO PORNOGRÁFICO A MENORES DE EDAD Y PROHÍBE LA INCITACIÓN A REALIZAR ACTIVIDADES SEXUALES CON MENORES DE EDAD.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1801_2016.html,2016-07-29,SI,"DECRETO-LEY 1355 DE 1970, LEY 140 DE 1994, LEY 232 DE 1995, LEY 338 DE 1997,LEY 697 DE 2001, LEY 749 DE 2002, LEY 810 DE 2003, LEY 1259 DE 2008, LEY 1335 DE 2009, LEY 1356 DE 2009.",SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Colombia,2016,1801,Ley ordinaria,EXPIDE EL CÓDIGO NACIONAL DE POLICÍA Y CONVIVENCIA. EL ARTÍCULO 35 PROHIBE IRRESPETAR A LAS AUTORIDADES DE POLICÍA.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1801_2016.html,2016-07-29,SI,"DECRETO-LEY 1355 DE 1970, LEY 140 DE 1994, LEY 232 DE 1995, LEY 338 DE 1997,LEY 697 DE 2001, LEY 749 DE 2002, LEY 810 DE 2003, LEY 1259 DE 2008, LEY 1335 DE 2009, LEY 1356 DE 2009.",SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,"LA PALABRA ""IRRESPETAR"" ES UNA EXPRESIÓN AMPLIA QUE DA PIE A QUE SE LIMITEN EXPRESIONES LEGÍTIMAS CONTRA LAS AUTORIDADES DE POLICÍA. EL MARGEN DE INTERPRETACIÓN ES PARA LAS AUTORIDADES ES DEMASIADO AMPLIO."
Ecuador,2016,"Código Orgánico de la Economía Social de los Conocimientos, Creatividad e Innovación",Ley orgánica,Se analizan: [1] Art. 4: Conocimiento como un bien público: [2] Art. 127: Medidas tecnológicas de protección a los derechos de autor,"http://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/e70d5b23-c9c8-4c3c-993d-a51ed0accfdd/Registro%20Oficial%20N%B0%20899%20C%F3digo%20Org%E1nico%20de%20la%20Econom%EDa%20Social%20de%20los%20Conocimientos,%20Creatividad%20e%20Innovaci%F3n.pdf",2016-12-09,SI,,SI,,NO,NO,SI,NO,SI,SI,SI,NO,NO,Limita,Propiedad Intelectual,SI,SI,NO,NO,Derechos de autor,,
México,2016,LFDA,,Reproducción de obras cinematograficas,http://www.dof.gob.mx/index.php?year=2016&month=01&day=13,2016-01-13,SI,,SI,,NO,NO,SI,NO,NO,NO,NO,NO,NO,Limita,Propiedad Intelectual,NO,SI,SI,NO,Derechos de autor,,
Paraguay,2016,5653,Ley ordinaria,"PROTECCIÓN INTEGRAL DEL NIÑO, NIÑA Y ADOLESCENTE FRENTE, A LOS EFECTOS QUE PUEDAN GENERAR EN ELLOS LOS CONTENIDOS NOCIVOS A QUE SE ACCEDAN O SE ENCUENTREN EN INTERNET.",http://www.bacn.gov.py/archivos/5167/20160929081650.pdf,2016-08-03,NO,,SI,,NO,NO,SI,NO,SI,SI,SI,SI,SI,Limita,Moderación de Contenidos y responsabilidad de intermediarios,SI,SI,SI,SI,Responsabilidad de intermediarios,Protección de menores,
Paraguay,2016,5777,Ley ordinaria,"ESTABLECER POLÍTICAS Y ESTRATEGIAS DE PREVENCIÓN DE LA VIOLENCIA HACIA LA MUJER, MECANISMOS DE ATENCIÓN Y MEDIDAS DE PROTECCIÓN, SANCIÓN Y REPARACIÓN INTEGRAL, TANTO EN EL ÁMBITO PÚBLICO COMO EN EL PRIVADO",http://www.gacetaoficial.gov.py/index/getDocumento/40556,2016-12-06,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Limita,"Discriminación, violencia y discursos de odio",SI,SI,SI,SI,Violencia de género,,
Perú,2016,Ley No. 30414,,"Modifica la ley de organizaciones políticas, y establece que en el acta de fundación del partido político deba constar una “declaración jurada expresa de cada uno de los fundadores donde conste su compromiso y vocación democrática, el respeto irrestricto al estado constitucional de derecho y a las libertades y derechos fundamentales. Además, establece la obligación de que “los fundadores del partido no podrán estar procesados o condenados por delitos de terrorismo y/o tráfico ilícito de drogas”.",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o461308.htm/mes461309.htm/dia462521.htm/sector462522.htm/sumilla462523.htm,2016-01-17,SI,,SI,,NO,NO,SI,NO,SI,NO,NO,NO,SI,Limita,Seguridad nacional,SI,SI,SI,SI,,,
Argentina,2015,27126,,Creación de la Agencia Federal de Inteligencia.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/240000-244999/243821/norma.htm,2015-02-25,SI,,SI,,NO,NO,NO,NO,SI,NO,NO,NO,NO,Limita,Seguridad nacional,NO,SI,NO,NO,,,
Brasil,2015,13.188/2015,Ley,"Regula o direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13188.htm,2015-11-11,SI,Código Penal (DECRETO-LEI Nº 2.848),SI,,NO,NO,SI,NO,SI,SI,NO,NO,,Promueve,Honor y reputación,SI,SI,SI,SI,,,
Colombia,2015,1755,Ley estatutaria,"REGULA EL DERECHO FUNDAMENTAL DE PETICIÓN, CAMINO A TRAVÉS DEL CUAL SE EJERCE EL DERECHO DE ACCEDER A LA INFORMACIÓN PÚBLICA. EL CAPÍTULO II ESTABLECE REGLAS SOBRE EL DERECHO DE PETICIÓN ANTE AUTORIDADES. ENTRE OTRAS COSAS, SE ESTABLECE LA RESERVA DE CIERTOS DOCUMENTOS E INFORMACIÓN Y EL PROCESO PARA RECHAZAR LAS PETICIONES POR MOTIVOS DE RESERVA. REGULA EL DERECHO FUNDAMENTAL DE PETICIÓN, CAMINO A TRAVÉS DEL CUAL SE EJERCE EL DERECHO DE ACCEDER A LA INFORMACIÓN PÚBLICA. EL CAPÍTULO III ESTABLECE REGLAS SOBRE EL DERECHO DE PETICIÓN ANTE ORGANIZACIONES PRIVADAS.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1755_2015.html,2015-06-30,SI,LEY 1427 DE 2011,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Colombia,2015,1765,Ley ordinaria,REESTRUCTURA LA JUSTICIA PENAL MILITAR. EL PARÁGRAFO SEGUNDO DEL ARTÍCULO 50 ESTABLECE QUE LAS ACTAS DE LA SECRETARÍA TÉCNICA DEL CONSEJO DIRECTIVO ESTARÁ A CARGO DE LA DIRECCIÓN EJECUTIVA DE LA UNIDAD ADMINISTRATIVA ESPECIAL DE LA JUSTICIA PENAL MILITAR Y POLICIAL Y QUE SUS ACTAS SERÁN RESERVADAS.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1765_2015.html,2015-07-23,SI,LEY 940 DE 2005,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,Orden público/moral pública,,"DE ACUERDO CON LO SEÑALADO EN EL ARTÍCULO 51, EL CONSEJO DIRECTIVO CUMPLE FUNCIONES COMO LA DE DEFINIR POLÍTICAS, PLANES Y PROGRAMA DE LA UNIDAD ADMINISTRATIVA DE LA JUSTICIA PENAL MILITAR Y POLICIAL, APROBAR EL PRESUPUESTO ANUAL Y CONOCER LOS INFORMES DE GESTIÓN PRESENTADOS POR EL DIRECTOR Y RECOMENDAR MODIFICACIONES AL MAPA JUDICIAL. ESTAS Y LAS DEMÁS FUNCIONES SON DE ALTO INTERÉS PÚBLICO. SI BIEN LA SEGURIDAD Y EL ORDÉN PÚBLICOS PUEDEN HACER NECESARIA LA RESERVA DE ALGUNAS ACTAS, ES INNECESARIO Y DESPROPORCIONAL ESTABLECER LA RESERVA ABSOLUTA DE TODAS ELLAS. ESTA RESERVA, SIN EMBARGO, PUEDE ATENUARSE SI SE LEE EN CONJUNTO CON LAS EXIGENCIAS DE LA LEY 1712 DE 2014 (LEY DE TRANSPARENCIA Y DE ACCESO A LA INFORMACIÓN PÚBLICA) QUE EXIGE QUE, ADEMÁS DE LA EXISTENCIA DE UNA LEY QUE ESTABLEZCA LA RESERVA PARA EL LOGRO DE OBJETIVOS LEGÍTIMOS, SE JUSTIFIQUE POR QUÉ AL REVELAR LA INFORMACIÓN SE CAUSARÍA UN DAÑO MAYOR AL DAÑO QUE SE CAUSARÍA AL PRIVAR A LOS CIUDADANOS DEL ACCESO A LA INFORMACIÓN."
Ecuador,2015,Ley Reformatoria del Código Orgánico Integral Penal,Ley reformatoria,Art. 208 A: Falsificación de marcas y piratería lesiva contra los derechos de autor,http://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/0919093e-7102-43e3-8c61-c667177bd507/Registro%20Oficial%20N%B0%20598%20Ley%20Org%E1nica%20Reformatoria%20al%20C%F3digo%20Org%E1nico%20Integral%20Penal.pdf,2015-09-30,SI,,SI,,NO,NO,SI,NO,SI,SI,SI,NO,NO,Limita,Propiedad Intelectual,SI,SI,NO,NO,Derechos de autor,,
México,2015,LFDA,,Reproducción de obras literarias,http://dof.gob.mx/nota_detalle.php?codigo=5385538&fecha=17/03/2015,2015-03-17,SI,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,NO,Promueve,Propiedad Intelectual,SI,SI,SI,SI,Derechos de autor,,
México,2015,LR6 y LOPJF,,Regular el derecho de Replica,http://www.diputados.gob.mx/LeyesBiblio/ref/ldi/LDI_ref03_04nov15.pdf,2015-11-04,NO,,SI,,NO,SI,SI,NO,NO,NO,NO,NO,NO,Promueve,Honor y reputación,SI,SI,SI,SI,,,
Perú,2015,Ley No. 30314,,La ley 30314 busca prevenir y sancionar el acoso sexual (lo que incluye los gestos obscenos y los comentarios e insinuaciones sexuales) en espacios públicos. Señala que la expresión verbal de connotación sexual califica como acoso cuando la víctima no desea o rechaza estas conducta.,http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o435883.htm/mes439951.htm/dia441741.htm/sector441742.htm/sumilla441744.htm,2015-03-26,NO,,SI,,NO,NO,SI,NO,SI,NO,NO,NO,SI,Limita,Privacidad y Derechos ARCO,SI,SI,SI,SI,Privacidad,,
